Group 1 on team 0 has 4647 units each with 7816 hp.  Does 48 fire damage.
Group 2 on team 0 has 301 units each with 3152 hp.  Does 139 fire damage.
Group 3 on team 0 has 1508 units each with 8344 hp.  Does 85 cold damage.
Group 4 on team 0 has 2956 units each with 5021 hp.  Does 48 slashing damage.
Group 5 on team 0 has 898 units each with 11545 hp.  Does 135 cold damage.
Group 6 on team 0 has 207 units each with 6235 hp.  Does 277 slashing damage.
Group 7 on team 0 has 7550 units each with 8773 hp.  Does 46 radiation damage.
Group 8 on team 0 has 1057 units each with 3791 hp.  Does 62 bludgeoning damage.
Group 9 on team 0 has 5086 units each with 3281 hp.  Does 40 cold damage.
Group 10 on team 0 has 330 units each with 4136 hp.  Does 126 cold damage.
Group 11 on team 1 has 1755 units each with 6886 hp.  Does 6 fire damage.
Group 12 on team 1 has 2251 units each with 33109 hp.  Does 29 cold damage.
Group 13 on team 1 has 298 units each with 18689 hp.  Does 123 slashing damage.
Group 14 on team 1 has 312 units each with 15735 hp.  Does 99 cold damage.
Group 15 on team 1 has 326 units each with 16400 hp.  Does 98 radiation damage.
Group 16 on team 1 has 4365 units each with 54947 hp.  Does 22 cold damage.
Group 17 on team 1 has 1446 units each with 51571 hp.  Does 63 fire damage.
Group 18 on team 1 has 8230 units each with 12331 hp.  Does 2 fire damage.
Group 19 on team 1 has 4111 units each with 17381 hp.  Does 7 cold damage.
Group 20 on team 1 has 366 units each with 28071 hp.  Does 150 fire damage.

Round 1 beginning.
Group 15 on team 1 did 31948 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 9 on team 0 did 406160 cold damage to group 17 on team 1, killing 7.000000 units.
Group 17 on team 1 did 181314 fire damage to group 7 on team 0, killing 20.000000 units.
Group 6 on team 0 did 57339 slashing damage to group 19 on team 1, killing 3.000000 units.
Group 20 on team 1 did 109800 fire damage to group 2 on team 0, killing 34.000000 units.
Group 4 on team 0 did 283776 slashing damage to group 20 on team 1, killing 10.000000 units.
Group 16 on team 1 did 192060 cold damage to group 6 on team 0, killing 30.000000 units.
Group 13 on team 1 did 73308 slashing damage to group 4 on team 0, killing 14.000000 units.
Group 18 on team 1 did 16460 fire damage to group 8 on team 0, killing 4.000000 units.
Group 7 on team 0 did 692760 radiation damage to group 13 on team 1, killing 37.000000 units.
Group 19 on team 1 did 28756 cold damage to group 5 on team 0, killing 2.000000 units.
Group 3 on team 0 did 128180 cold damage to group 12 on team 1, killing 3.000000 units.
Group 14 on team 1 did 30888 cold damage to group 3 on team 0, killing 3.000000 units.
Group 12 on team 1 did 65192 cold damage to group 1 on team 0, killing 8.000000 units.
Group 10 on team 0 did 41580 cold damage to group 11 on team 1, killing 6.000000 units.
Group 8 on team 0 did 130572 bludgeoning damage to group 14 on team 1, killing 8.000000 units.
Group 11 on team 1 did 10494 fire damage to group 10 on team 0, killing 2.000000 units.
Group 2 on team 0 did 37113 fire damage to group 18 on team 1, killing 3.000000 units.
Group 5 on team 0 did 120960 cold damage to group 15 on team 1, killing 7.000000 units.
Group 1 on team 0 did 222672 fire damage to group 16 on team 1, killing 4.000000 units.

Round 2 beginning.
